true_label,scenario,ADL,Fall,Near_Fall,All
ADL,AS,30,0,0,30
ADL,DS,28,0,2,30
ADL,DSL,27,3,0,30
ADL,DSS,26,0,4,30
ADL,NW,29,0,1,30
ADL,POG,29,0,1,30
ADL,RSS,26,0,4,30
ADL,SQ,30,0,0,30
Fall,CS,0,27,0,27
Fall,HB,0,30,0,30
Fall,ITCS,0,3,0,3
Fall,ITDS,3,27,0,30
Fall,ITRS,1,29,0,30
Fall,LCC,1,29,0,30
Fall,slip,0,27,3,30
Fall,trip,0,25,5,30
Near_Fall,CS,3,4,20,27
Near_Fall,HB,2,3,25,30
Near_Fall,ITCS,2,0,1,3
Near_Fall,ITRS,4,2,24,30
Near_Fall,slip,4,4,22,30
Near_Fall,trip,5,4,21,30
All,,250,217,133,600
