true_label,scenario,ADL,Fall,Near_Fall,All
ADL,AS,22,0,8,30
ADL,DS,23,0,7,30
ADL,DSL,0,30,0,30
ADL,DSS,22,1,7,30
ADL,NW,17,0,13,30
ADL,POG,20,0,10,30
ADL,RSS,22,0,8,30
ADL,SQ,19,0,11,30
Fall,CS,1,26,0,27
Fall,HB,0,30,0,30
Fall,ITCS,0,3,0,3
Fall,ITDS,0,30,0,30
Fall,ITRS,0,30,0,30
Fall,LCC,0,30,0,30
Fall,slip,4,24,2,30
Fall,trip,1,25,4,30
Near_Fall,CS,14,0,13,27
Near_Fall,HB,13,0,17,30
Near_Fall,ITCS,0,0,3,3
Near_Fall,ITRS,10,2,18,30
Near_Fall,slip,7,0,23,30
Near_Fall,trip,11,1,18,30
All,,206,232,162,600
