true_label,scenario,ADL,Fall,Near_Fall,All
ADL,AS,30,0,0,30
ADL,DS,28,0,2,30
ADL,DSL,29,1,0,30
ADL,DSS,27,0,3,30
ADL,NW,30,0,0,30
ADL,POG,29,0,1,30
ADL,RSS,27,0,3,30
ADL,SQ,30,0,0,30
Fall,CS,1,26,0,27
Fall,HB,0,30,0,30
Fall,ITCS,0,3,0,3
Fall,ITDS,1,29,0,30
Fall,ITRS,0,30,0,30
Fall,LCC,1,29,0,30
Fall,slip,0,28,2,30
Fall,trip,0,27,3,30
Near_Fall,CS,0,0,27,27
Near_Fall,HB,0,0,30,30
Near_Fall,ITCS,1,0,2,3
Near_Fall,ITRS,0,1,29,30
Near_Fall,slip,1,0,29,30
Near_Fall,trip,0,1,29,30
All,,235,205,160,600
