true_label,scenario,ADL,Fall,Near_Fall,All
ADL,AS,28,0,2,30
ADL,DS,27,0,3,30
ADL,DSL,19,11,0,30
ADL,DSS,26,0,4,30
ADL,NW,26,0,4,30
ADL,POG,30,0,0,30
ADL,RSS,28,0,2,30
ADL,SQ,30,0,0,30
Fall,CS,1,26,0,27
Fall,HB,0,30,0,30
Fall,ITCS,0,3,0,3
Fall,ITDS,2,28,0,30
Fall,ITRS,0,30,0,30
Fall,LCC,0,30,0,30
Fall,slip,1,26,3,30
Fall,trip,0,26,4,30
Near_Fall,CS,1,2,24,27
Near_Fall,HB,7,2,21,30
Near_Fall,ITCS,3,0,0,3
Near_Fall,ITRS,5,2,23,30
Near_Fall,slip,5,1,24,30
Near_Fall,trip,7,1,22,30
All,,246,218,136,600
