true_label,scenario,ADL,Fall,Near_Fall,All
ADL,AS,30,0,0,30
ADL,DS,26,0,4,30
ADL,DSL,21,9,0,30
ADL,DSS,29,0,1,30
ADL,NW,26,0,4,30
ADL,POG,30,0,0,30
ADL,RSS,30,0,0,30
ADL,SQ,30,0,0,30
Fall,CS,0,27,0,27
Fall,HB,0,30,0,30
Fall,ITCS,0,3,0,3
Fall,ITDS,4,26,0,30
Fall,ITRS,0,30,0,30
Fall,LCC,0,30,0,30
Fall,slip,5,23,2,30
Fall,trip,0,25,5,30
Near_Fall,CS,4,5,18,27
Near_Fall,HB,7,1,22,30
Near_Fall,ITCS,0,0,3,3
Near_Fall,ITRS,4,1,25,30
Near_Fall,slip,1,0,29,30
Near_Fall,trip,5,2,23,30
All,,252,212,136,600
